"#%s. ","#%s. "
"<b>Notice that:</b> Each time Invoice is created, a Zoho Event will be created in Zoho CRM. This synchronization is one way and only once from Magento Store into Zoho CRM for each Invoice.","<b>Notice that:</b> Each time Invoice is created, a Zoho Event will be created in Zoho CRM. This synchronization is one way and only once from Magento Store into Zoho CRM for each Invoice."
"<b>Notice that:</b> Each time Order is created, a Zoho Event will be created in Zoho CRM. This synchronization is one way and only once from Magento Store into Zoho CRM for each Order Status.","<b>Notice that:</b> Each time Order is created, a Zoho Event will be created in Zoho CRM. This synchronization is one way and only once from Magento Store into Zoho CRM for each Order Status."
"<b>Notice that:</b> Each time Shipment is created, a Zoho Event will be created in Zoho CRM. This synchronization is one way and only once from Magento Store into Zoho CRM for each Shipment.","<b>Notice that:</b> Each time Shipment is created, a Zoho Event will be created in Zoho CRM. This synchronization is one way and only once from Magento Store into Zoho CRM for each Shipment."
"<b>Notice that:</b> Each time Shopping Cart Price Rule is created, a Zoho Campaign will be created in Zoho CRM. This synchronization is two ways between Magento Store and Zoho CRM (without conditions, item conditions field and generated coupons).","<b>Notice that:</b> Each time Shopping Cart Price Rule is created, a Zoho Campaign will be created in Zoho CRM. This synchronization is two ways between Magento Store and Zoho CRM (without conditions, item conditions field and generated coupons)."
"<b>Notice that:</b> Extension allows synchronizing bidirectional Product Group Price and Tier Price but we need input correctly value format of Group Price and Tier Price in Zoho.<ul style='list-style: disc inside;padding-left: 10px;'><li>The correct value format of Group Price is <b>{{website}} - {{customer group}} - Price: {{price}}</b>.</li><li>The correct value format of Tier Price is <b>{{website}} - {{customer group}} - Qty >= {{qty}} - Price: {{price}}</b>.</li></ul>With <b>Custom Options</b> and <b>More Attributes</b>, these are mixed attributes, extension only synchronize one way from Magento into ZohoCRM.","<b>Notice that:</b> Extension allows synchronizing bidirectional Product Group Price and Tier Price but we need input correctly value format of Group Price and Tier Price in Zoho.<ul style='list-style: disc inside;padding-left: 10px;'><li>The correct value format of Group Price is <b>{{website}} - {{customer group}} - Price: {{price}}</b>.</li><li>The correct value format of Tier Price is <b>{{website}} - {{customer group}} - Qty >= {{qty}} - Price: {{price}}</b>.</li></ul>With <b>Custom Options</b> and <b>More Attributes</b>, these are mixed attributes, extension only synchronize one way from Magento into ZohoCRM."
"<b>Notice that:</b> Extension allows synchronizing the Guest Subscribers into Zoho Leads. With the Customer Subscribers, extension will synchronize them into Zoho Leads if those customers have never added any items into cart, othercases, customers will be Zoho Accounts.<br/>In Mapping Fields, we can set Default Value has key <b>{{mail_name}}</b>, that is value in front of character <b>@</b> in email address. Example: email <b>philip@crm4ecommerce.com</b>, <b>{{mail_name}}</b> will be <b>philip</b>.","<b>Notice that:</b> Extension allows synchronizing the Guest Subscribers into Zoho Leads. With the Customer Subscribers, extension will synchronize them into Zoho Leads if those customers have never added any items into cart, othercases, customers will be Zoho Accounts.<br/>In Mapping Fields, we can set Default Value has key <b>{{mail_name}}</b>, that is value in front of character <b>@</b> in email address. Example: email <b>philip@crm4ecommerce.com</b>, <b>{{mail_name}}</b> will be <b>philip</b>."
"<b>Notice that:</b> Import new records or refresh data information from Zoho CRM.<br/>To setup synchronize data instantly in ZohoCRM system, let open <b>Setup > Automation > Workflow > Rules > Create Rule:</b> Choose Module > choose Create or Edit / Delete > Next > new a Call Webhooks:<ul style='list-style: disc inside;padding-left: 10px;'><li><b>URL to Notify</b>: input <i>%s</i>, with Execute On action is Delete, let add more param \"delete/1/\" into Url. <b>{{Module Name}}</b> will be one of words Leads, Accounts, Contacts or Tasks,</li><li><b>Append Entity Parameters</b>: input Parameter Name is \"id\",</li><li><b>Parameter Value</b>: select Id field,</li></ul>after that click <b>Save & Associate > Save</b>.","<b>Notice that:</b> Import new records or refresh data information from Zoho CRM.<br/>To setup synchronize data instantly in ZohoCRM system, let open <b>Setup > Automation > Workflow > Rules > Create Rule:</b> Choose Module > choose Create or Edit / Delete > Next > new a Call Webhooks:<ul style='list-style: disc inside;padding-left: 10px;'><li><b>URL to Notify</b>: input <i>%s</i>, with Execute On action is Delete, let add more param \"delete/1/\" into Url. <b>{{Module Name}}</b> will be one of words Leads, Accounts, Contacts or Tasks,</li><li><b>Append Entity Parameters</b>: input Parameter Name is \"id\",</li><li><b>Parameter Value</b>: select Id field,</li></ul>after that click <b>Save & Associate > Save</b>."
"<b>Notice that:</b> Invoice's Comment can be synchronized two ways between Magento Store and Zoho Task. The important requirement to synchronize Zoho Task into Invoice's Comment is we need create Zoho Task subject exactly with the below format.","<b>Notice that:</b> Invoice's Comment can be synchronized two ways between Magento Store and Zoho Task. The important requirement to synchronize Zoho Task into Invoice's Comment is we need create Zoho Task subject exactly with the below format."
"<b>Notice that:</b> Let ignore mapping Zoho Invoice Subject, It will be mapped with default value is <b>%s{{INVOICE-INCREMENT_ID}}</b>. Contact & Account information is mapped automatically from Customer information. In case the customer who creates order is a guest, a guest account will be created in zoho crm and this account will has account name is <b>%s</b>.","<b>Notice that:</b> Let ignore mapping Zoho Invoice Subject, It will be mapped with default value is <b>%s{{INVOICE-INCREMENT_ID}}</b>. Contact & Account information is mapped automatically from Customer information. In case the customer who creates order is a guest, a guest account will be created in zoho crm and this account will has account name is <b>%s</b>."
"<b>Notice that:</b> Let ignore mapping Zoho Order Subject, It will be mapped with default value is <b>%s{{ORDER-INCREMENT_ID}}</b>. Contact & Account information is mapped automatically from Customer information. In case the customer who creates order is a guest, a guest account will be created in zoho crm and this account will has account name is <b>%s</b>.","<b>Notice that:</b> Let ignore mapping Zoho Order Subject, It will be mapped with default value is <b>%s{{ORDER-INCREMENT_ID}}</b>. Contact & Account information is mapped automatically from Customer information. In case the customer who creates order is a guest, a guest account will be created in zoho crm and this account will has account name is <b>%s</b>."
"<b>Notice that:</b> Mapping allowed currenies of Store with current currencies of linked Zoho system. The un-mapped currencies will be mapped automatically with Zoho currency via base currency value.","<b>Notice that:</b> Mapping allowed currenies of Store with current currencies of linked Zoho system. The un-mapped currencies will be mapped automatically with Zoho currency via base currency value."
"<b>Notice that:</b> Order's Comment can be synchronized two ways between Magento Store and Zoho Task. The important requirement to synchronize Zoho Task into Order's Comment is we need create Zoho Task subject exactly with the below format.","<b>Notice that:</b> Order's Comment can be synchronized two ways between Magento Store and Zoho Task. The important requirement to synchronize Zoho Task into Order's Comment is we need create Zoho Task subject exactly with the below format."
"<b>Notice that:</b> Shipment's Comment can be synchronized two ways between Magento Store and Zoho Task. The important requirement to synchronize Zoho Task into Shipment's Comment is we need create Zoho Task subject exactly with the below format.","<b>Notice that:</b> Shipment's Comment can be synchronized two ways between Magento Store and Zoho Task. The important requirement to synchronize Zoho Task into Shipment's Comment is we need create Zoho Task subject exactly with the below format."
"<b>Notice that:</b> System only synchronize shopping cart data with zoho quotes when customer logged in. Let ignore mapping Zoho Quote Subject, It will be mapped with default value is <b>%s{{CART-ID}}</b>. Contact & Account information and Some Quote base information such as product items, subtotal, discount, tax, gran total will be mapped automatically from Customer information, Quote Information.","<b>Notice that:</b> System only synchronize shopping cart data with zoho quotes when customer logged in. Let ignore mapping Zoho Quote Subject, It will be mapped with default value is <b>%s{{CART-ID}}</b>. Contact & Account information and Some Quote base information such as product items, subtotal, discount, tax, gran total will be mapped automatically from Customer information, Quote Information."
"<b>Notice that:</b> System will auto create a Potential in Zoho system when a quote of registered customer is created in Magento site.<ul style='list-style: disc inside;padding-left: 10px;'><li>Potential Account Name, Contact Name and Amount will be loaded automatically from Quote Account Name, Contact Name and Grand Total.</li><li>Potential will be updated until Quote was converted to SalesOrder and SalesOrder finishes processing (Canceled, Completed or Closed).</li><li>When SalesOrder is created, Potential Account Name, Contact Name and Amount will be loaded automatically from SalesOrder Account Name, Contact Name and Grand Total.</li><li>Potential Name will be fixed is <b>{{Account Name}}-%s{{CART-ID}}</b> if Potential is only Shopping Cart.<br/>When Potential is Order, Potential Name will be <b>{{Account Name}}-%s{{CART-ID}}-%s{{ORDER-INCREMENTID}}</b>.<br/>In case the customers place order are unregistered customers, Potential Name will be <b>{{Guest Account Name}}-%s{{ORDER-INCREMENTID}}</b>.</li></ul>","<b>Notice that:</b> System will auto create a Potential in Zoho system when a quote of registered customer is created in Magento site.<ul style='list-style: disc inside;padding-left: 10px;'><li>Potential Account Name, Contact Name and Amount will be loaded automatically from Quote Account Name, Contact Name and Grand Total.</li><li>Potential will be updated until Quote was converted to SalesOrder and SalesOrder finishes processing (Canceled, Completed or Closed).</li><li>When SalesOrder is created, Potential Account Name, Contact Name and Amount will be loaded automatically from SalesOrder Account Name, Contact Name and Grand Total.</li><li>Potential Name will be fixed is <b>{{Account Name}}-%s{{CART-ID}}</b> if Potential is only Shopping Cart.<br/>When Potential is Order, Potential Name will be <b>{{Account Name}}-%s{{CART-ID}}-%s{{ORDER-INCREMENTID}}</b>.<br/>In case the customers place order are unregistered customers, Potential Name will be <b>{{Guest Account Name}}-%s{{ORDER-INCREMENTID}}</b>.</li></ul>"
"<b>Notice that:</b> Zoho User Accounts are users of your oganization that are registered on Zoho CRM System. List accounts will be used by order using when current user account is stopped (user account's license is limited).","<b>Notice that:</b> Zoho User Accounts are users of your oganization that are registered on Zoho CRM System. List accounts will be used by order using when current user account is stopped (user account's license is limited)."
"<b>Total</b> %d mapping attributes and fields found.","<b>Total</b> %d mapping attributes and fields found."
"<b>Total</b> %d mapping currencies found.","<b>Total</b> %d mapping currencies found."
"<b>Total</b> %d payment attributes found.","<b>Total</b> %d payment attributes found."
"<b>Total</b> %d zoho user account(s) found.","<b>Total</b> %d zoho user account(s) found."
"<div class='box'><p>See documentation and support for <a target='_blank' href='http://www.crm4ecommerce.com/magento-zohocrm-bidirectional-synchronization-free-edition.html/'><b>Magento ZohoCRM Bidirectional Synchronization Free Edition</b></a></p><p>This extenstion is one of products is powered by <a target='_blank' href='http://www.crm4ecommerce.com'><b>CRM4Ecommerce.COM</b></a></p></div>","<div class='box'><p>See documentation and support for <a target='_blank' href='http://www.crm4ecommerce.com/magento-zohocrm-bidirectional-synchronization-free-edition.html/'><b>Magento ZohoCRM Bidirectional Synchronization Free Edition</b></a></p><p>This extenstion is one of products is powered by <a target='_blank' href='http://www.crm4ecommerce.com'><b>CRM4Ecommerce.COM</b></a></p></div>"
"<div class='box'><p>The following are informations to access Zoho CRM</p></div>","<div class='box'><p>The following are informations to access Zoho CRM</p></div>"
"<ul style=\"list-style: outside disc;\"><li>Zoho accounts data from Zoho CRM system will be loaded into your Magento store and converted to customer's information, account's addresses and contacts of account will be Customer's addresses.</li><li>If there is no customer has zoho id that coincides with id of loaded account, then a new customer will be created in Magento store in selected store view. Of course, if customer has no addresses that corresponding with account's addresses or account's contacts, the new addresses of customer will be also created.</li><li>Load id field will be id of Zoho account that you want to load data into your Magento store.</li></ul>","<ul style=\"list-style: outside disc;\"><li>Zoho accounts data from Zoho CRM system will be loaded into your Magento store and converted to customer's information, account's addresses and contacts of account will be Customer's addresses.</li><li>If there is no customer has zoho id that coincides with id of loaded account, then a new customer will be created in Magento store in selected store view. Of course, if customer has no addresses that corresponding with account's addresses or account's contacts, the new addresses of customer will be also created.</li><li>Load id field will be id of Zoho account that you want to load data into your Magento store.</li></ul>"
"<ul style=\"list-style: outside disc;\"><li>Zoho campaigns data from Zoho CRM system will be loaded into your Magento store and converted to promotion catalog price rules or shopping cart price rules (referred to as rules).</li><li>If there is no rule has zoho id that coincides with id of loaded campaign, then a new rule will be created with conditions and items conditions is \"If ALL of these conditions are TRUE\".</li><li>Load id field will be id of Zoho Campaign that you want to load data into your Magento store.</li></ul>","<ul style=\"list-style: outside disc;\"><li>Zoho campaigns data from Zoho CRM system will be loaded into your Magento store and converted to promotion catalog price rules or shopping cart price rules (referred to as rules).</li><li>If there is no rule has zoho id that coincides with id of loaded campaign, then a new rule will be created with conditions and items conditions is \"If ALL of these conditions are TRUE\".</li><li>Load id field will be id of Zoho Campaign that you want to load data into your Magento store.</li></ul>"
"<ul style=\"list-style: outside disc;\"><li>Zoho contacts data from Zoho CRM system will be loaded into your Magento store and converted to customer's addresses.</li><li>If there is no customer's address has zoho id that coincides with id of loaded contact, then a new customer's address will be created.</li><li>Load id field will be id of Zoho contact that you want to load data into your Magento store.</li></ul>","<ul style=\"list-style: outside disc;\"><li>Zoho contacts data from Zoho CRM system will be loaded into your Magento store and converted to customer's addresses.</li><li>If there is no customer's address has zoho id that coincides with id of loaded contact, then a new customer's address will be created.</li><li>Load id field will be id of Zoho contact that you want to load data into your Magento store.</li></ul>"
"If this value is Yes, system will only synchronize default billing address of customers, billing address of guests into zohocrm contact.","If this value is Yes, system will only synchronize default billing address of customers, billing address of guests into zohocrm contact."
"<ul style=\"list-style: outside disc;\"><li>Zoho leads data from Zoho CRM system will be loaded into your Magento store and converted to customer's information or newsletter subscribers. In case lead is customer, lead's address will be Customer's default billing address.</li><li>If there is no customer has zoho id that coincides with id of loaded lead, then a new customer will be created in Magento store in selected store view. Of course, if customer has no billing address, the new billing address of customer will be also created.</li><li>Load id field will be id of Zoho lead that you want to load data into your Magento store.</li></ul>","<ul style=\"list-style: outside disc;\"><li>Zoho leads data from Zoho CRM system will be loaded into your Magento store and converted to customer's information or newsletter subscribers. In case lead is customer, lead's address will be Customer's default billing address.</li><li>If there is no customer has zoho id that coincides with id of loaded lead, then a new customer will be created in Magento store in selected store view. Of course, if customer has no billing address, the new billing address of customer will be also created.</li><li>Load id field will be id of Zoho lead that you want to load data into your Magento store.</li></ul>"
"<ul style=\"list-style: outside disc;\"><li>Zoho products data from Zoho CRM system will be loaded into your Magento store and converted to product's information in default scope.</li><li>Extension allows create new product when there is no product that has Zoho Id as inputted.</li><li>Load id field will be id of Zoho product that you want to load data into your Magento store.</li></ul>","<ul style=\"list-style: outside disc;\"><li>Zoho products data from Zoho CRM system will be loaded into your Magento store and converted to product's information in default scope.</li><li>Extension allows create new product when there is no product that has Zoho Id as inputted.</li><li>Load id field will be id of Zoho product that you want to load data into your Magento store.</li></ul>"
"<ul style=\"list-style: outside disc;\"><li>Zoho tasks data from Zoho CRM system will be loaded into your Magento store and converted to sales order's comment, invoice's comment, shipment's comment or credit memo's comment depends on <b>task subject format</b>.</li><li>If there is no comment has activity zoho id that coincides with id of loaded task, then a new comment will be created.</li><li>Load id field will be id of Zoho task that you want to load data into your Magento store.</li></ul>","<ul style=\"list-style: outside disc;\"><li>Zoho tasks data from Zoho CRM system will be loaded into your Magento store and converted to sales order's comment, invoice's comment, shipment's comment or credit memo's comment depends on <b>task subject format</b>.</li><li>If there is no comment has activity zoho id that coincides with id of loaded task, then a new comment will be created.</li><li>Load id field will be id of Zoho task that you want to load data into your Magento store.</li></ul>"
"Account Name","Account Name"
"Accounts","Accounts"
"Action","Action"
"Active","Active"
"Admin","Admin"
"Add customer to synchronization queue in report","Add customer to synchronization queue in report"
"Add customer's address to synchronization queue in report","Add customer's address to synchronization queue in report"
"Add in Report (Backend)","Add in Report (Backend)"
"Add invoice to synchronization queue in report","Add invoice to synchronization queue in report"
"Add New Attribute","Add New Attribute"
"Add New in","Add New in"
"Add New Mapping Attribute","Add New Mapping Attribute"
"Add New Mapping Currency","Add New Mapping Currency"
"Add New Queue Item","Add New Queue Item"
"Add New Zoho User Account","Add New Zoho User Account"
"Add Object into Queue","Add Object into Queue"
"Add order to synchronization queue in report","Add order to synchronization queue in report"
"Add order's products","Add order's products"
"Add product to synchronization queue in report","Add product to synchronization queue in report"
"Add promotion to synchronization queue in report","Add promotion to synchronization queue in report"
"Add quote's / order's products into potential related products list.","Add quote's / order's products into potential related products list."
"Add quote to synchronization queue in report","Add quote to synchronization queue in report"
"Add subscriber to synchronization queue in report","Add subscriber to synchronization queue in report"
"Add synchronized objects into Queue","Add synchronized objects into Queue"
"Add to queue","Add to queue"
"Address Information","Address Information"
"Address information: %s of customer %s (%s) has been created new successfully.","Address information: %s of customer %s (%s) has been created new successfully."
"Address information: %s of customer %s (%s) has been updated successfully.","Address information: %s of customer %s (%s) has been updated successfully."
"Addresses","Addresses"
"Addresses & Zoho Contacts","Addresses & Zoho Contacts"
"Affected Id","Affected Id"
"After Cart Saved Data in Backend","After Cart Saved Data in Backend"
"After Cart Saved Data in Frontend","After Cart Saved Data in Frontend"
"After Customer Saved Data in Backend","After Customer Saved Data in Backend"
"After Customer Saved Data in Frontend","After Customer Saved Data in Frontend"
"After Invoice Saved Data in Backend","After Invoice Saved Data in Backend"
"After Invoice Saved Data in Frontend","After Invoice Saved Data in Frontend"
"After Order Saved Data in Backend","After Order Saved Data in Backend"
"After Order Saved Data in Frontend","After Order Saved Data in Frontend"
"After Product Attributes Updated in Backend","After Product Attributes Updated in Backend"
"After Product Saved Data in Backend","After Product Saved Data in Backend"
"After Product Saved Data in Frontend","After Product Saved Data in Frontend"
"After Promotion Saved Data in Backend","After Promotion Saved Data in Backend"
"After Promotion Saved Data in Frontend","After Promotion Saved Data in Frontend"
"After Subscriber Changed Status in Backend","After Subscriber Changed Status in Backend"
"After Subscriber Subscribed/Unsubscribed in Frontend","After Subscriber Subscribed/Unsubscribed in Frontend"
"Allow auto send password reminder email when customer is created from Zoho CRM or not. Default is Yes.","Allow auto send password reminder email when customer is created from Zoho CRM or not. Default is Yes."
"Allow Delete Account in ZohoCRM","Allow Delete Account in ZohoCRM"
"Allow Delete Campaign in ZohoCRM","Allow Delete Campaign in ZohoCRM"
"Allow Delete Contact in ZohoCRM","Allow Delete Contact in ZohoCRM"
"Allow delete corresponding account in ZohoCRM when customer is deleted or not.","Allow delete corresponding account in ZohoCRM when customer is deleted or not."
"Allow delete corresponding campaign in ZohoCRM when catalog price rule is deleted or not.","Allow delete corresponding campaign in ZohoCRM when catalog price rule is deleted or not."
"Allow delete corresponding campaign in ZohoCRM when shopping cart price rule is deleted or not.","Allow delete corresponding campaign in ZohoCRM when shopping cart price rule is deleted or not."
"Allow delete corresponding contact in ZohoCRM when customer is deleted or not.","Allow delete corresponding contact in ZohoCRM when customer is deleted or not."
"Allow delete corresponding lead in ZohoCRM when customer is deleted or not.","Allow delete corresponding lead in ZohoCRM when customer is deleted or not."
"Allow delete corresponding lead in ZohoCRM when subscriber is deleted or not.","Allow delete corresponding lead in ZohoCRM when subscriber is deleted or not."
"Allow delete corresponding product in ZohoCRM when magento product is deleted or not.","Allow delete corresponding product in ZohoCRM when magento product is deleted or not."
"Allow Delete Lead in ZohoCRM","Allow Delete Lead in ZohoCRM"
"Allow Delete Product in ZohoCRM","Allow Delete Product in ZohoCRM"
"Allow importing all Zoho leads that are created from Zoho into Magento Subscribers or not. If this value is Yes, each time we create new or update data of any lead (created in Zoho) on Zoho system, a corresponding Magento subscriber will be created new or updated. With the subscribers that are created in Magento, the bidirectional synchronization is still executed regardless this value is Yes or No.","Allow importing all Zoho leads that are created from Zoho into Magento Subscribers or not. If this value is Yes, each time we create new or update data of any lead (created in Zoho) on Zoho system, a corresponding Magento subscriber will be created new or updated. With the subscribers that are created in Magento, the bidirectional synchronization is still executed regardless this value is Yes or No."
"Allow importing all Zoho leads that are created from Zoho into Magento Customers or not. If this value is Yes, each time we create new or update data of any lead (created in Zoho) on Zoho system, a corresponding Magento customer will be created new or updated. With the customers that are created in Magento, the bidirectional synchronization is still executed regardless this value is Yes or No.","Allow importing all Zoho leads that are created from Zoho into Magento Customers or not. If this value is Yes, each time we create new or update data of any lead (created in Zoho) on Zoho system, a corresponding Magento customer will be created new or updated. With the customers that are created in Magento, the bidirectional synchronization is still executed regardless this value is Yes or No."
"All logs data have been truncated successfully.","All logs data have been truncated successfully."
"All queue items have been cleared successfully","All queue items have been cleared successfully"
"Allow auto fill lead status to ZohoCRM or not. To use this feature, let map attibute Status with a zoho lead field (normally is Lead Status).","Allow auto fill lead status to ZohoCRM or not. To use this feature, let map attibute Status with a zoho lead field (normally is Lead Status)."
"Allow creating a new record when inserting data but there was existed records that has same key field value","Allow creating a new record when inserting data but there was existed records that has same key field value"
"Allow creating a new zoho crm account when inserting data but there was existed account that has same email or has contact that has the same email","Allow creating a new zoho crm account when inserting data but there was existed account that has same email or has contact that has the same email"
"Allow Load Accounts","Allow Load Accounts"
"Allow Load Campaigns","Allow Load Campaigns"
"Allow Load Contacts","Allow Load Contacts"
"Allow Load Invoices","Allow Load Invoices"
"Allow Load Leads","Allow Load Leads"
"Allow Load Products","Allow Load Products"
"Allow Load Quotes","Allow Load Quotes"
"Allow Load SalesOrders","Allow Load SalesOrders"
"Allow Load Tasks","Allow Load Tasks"
"Allow loading data from ZohoCRM in Cronjob or not.","Allow loading data from ZohoCRM in Cronjob or not."
"Allow Receiver","Allow Receiver"
"Allow Reporting Empty Quotes","Allow Reporting Empty Quotes"
"Allow set cost value is 0 from Zoho CRM or not.","Allow set cost value is 0 from Zoho CRM or not."
"Allow set special price value is 0 from Zoho CRM or not.","Allow set special price value is 0 from Zoho CRM or not."
"Allow synchronizing all data in Queue into ZohoCRM site by Cronjob.","Allow synchronizing all data in Queue into ZohoCRM site by Cronjob."
"Allow synchronizing Credit Memos's Comments to Zoho Tasks or not.","Allow synchronizing Credit Memos's Comments to Zoho Tasks or not."
"Allow synchronizing Credit Memos's Statuses History to Zoho Events or not.","Allow synchronizing Credit Memos's Statuses History to Zoho Events or not."
"Allow synchronizing customers to zoho leads before convert to zoho accounts or not. If this value is No, zoho lead will be not synchronized from zoho system (there will no customer created when a zoho lead is created).","Allow synchronizing customers to zoho leads before convert to zoho accounts or not. If this value is No, zoho lead will be not synchronized from zoho system (there will no customer created when a zoho lead is created)."
"Allow synchronizing Invoice's Comments to Zoho Tasks or not.","Allow synchronizing Invoice's Comments to Zoho Tasks or not."
"Allow synchronizing Invoice's Statuses History to Zoho Events or not.","Allow synchronizing Invoice's Statuses History to Zoho Events or not."
"Allow synchronizing Invoices to Zoho Invoices or not.","Allow synchronizing Invoices to Zoho Invoices or not."
"Allow synchronizing Order's Comments to Zoho Tasks or not.","Allow synchronizing Order's Comments to Zoho Tasks or not."
"Allow synchronizing Order's Statuses History to Zoho Events or not.","Allow synchronizing Order's Statuses History to Zoho Events or not."
"Allow synchronizing Orders to Zoho SalesOrders or not.","Allow synchronizing Orders to Zoho SalesOrders or not."
"Allow synchronizing Products to Zoho Products or not.","Allow synchronizing Products to Zoho Products or not."
"Allow synchronizing Promotions Catalog Price Rules to Zoho Campaigns or not.","Allow synchronizing Promotions Catalog Price Rules to Zoho Campaigns or not."
"Allow synchronizing Promotions Shopping Cart Price Rules to Zoho Campaigns or not.","Allow synchronizing Promotions Shopping Cart Price Rules to Zoho Campaigns or not."
"Allow synchronizing quotes, orders with zoho potentials or not.","Allow synchronizing quotes, orders with zoho potentials or not."
"Allow synchronizing Quotes to Zoho Quotes or not.","Allow synchronizing Quotes to Zoho Quotes or not."
"Allow synchronizing Shipment's Statuses History to Zoho Events or not.","Allow synchronizing Shipment's Statuses History to Zoho Events or not."
"Allow synchronizing Shipment's Comments to Zoho Tasks or not.","Allow synchronizing Shipment's Comments to Zoho Tasks or not."
"Amount","Amount"
"Apply","Apply"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Apply to Subproducts","Apply to Subproducts"
"Are you sure?","Are you sure?"
"Ascending","Ascending"
"Attribute","Attribute"
"Attribute Name","Attribute Name"
"Attribute Set","Attribute Set"
"Attributes / Fields","Attributes / Fields"
"Authtoken","Authtoken"
"Auto-send password reminder email","Auto-send password reminder email"
"Auto change Zoho User","Auto change Zoho User"
"Auto closed when object in this item has just been synchronized at <b>%s</b>.","Auto closed when object in this item has just been synchronized at <b>%s</b>."
"Auto create & Mapping to Zoho Potentials","Auto create & Mapping to Zoho Potentials"
"Auto fill status","Auto fill status"
"Auto ignored object has id <b>%s</b> at <b>%s</b> because this object was synchronized before.","Auto ignored object has id <b>%s</b> at <b>%s</b> because this object was synchronized before."
"Auto set field","Auto set field"
"Auto set Zoho Id to SKU","Auto set Zoho Id to SKU"
"Available Shipping & Handling Methods","Available Shipping & Handling Methods"
"Average Cancelled Sale","Average Cancelled Sale"
"Average Sale","Average Sale"
"Back","Back"
"Backorders","Backorders"
"Billing Address","Billing Address"
"Billing Information","Billing Information"
"Campaign Name","Campaign Name"
"Campaign Settings have been saved successfully.","Campaign Settings have been saved successfully."
"Can be Divided into Multiple Boxes for Shipping","Can be Divided into Multiple Boxes for Shipping"
"Cancel","Cancel"
"Cancelled Sales","Cancelled Sales"
"Cart Price & Campaigns","Cart Price & Campaigns"
"Carts from Quotes","Carts from Quotes"
"Catalog Price & Campaigns","Catalog Price & Campaigns"
"Catalog Price & Zoho Campaigns","Catalog Price & Zoho Campaigns"
"Catalog Price Rule %s has id %s has been added new and applied successfully.","Catalog Price Rule %s has id %s has been added new and applied successfully."
"Catalog Price Rule %s has id %s has been updated and applied successfully.","Catalog Price Rule %s has id %s has been updated and applied successfully."
"Catalog Price Rule Saved (Backend)","Catalog Price Rule Saved (Backend)"
"Catalog Price Rule Saved (Frontend)","Catalog Price Rule Saved (Frontend)"
"Catalog Price Rules","Catalog Price Rules"
"Change status","Change status"
"Change Status & Settings","Change Status & Settings"
"Change Status At","Change Status At"
"City","City"
"Clear Console","Clear Console"
"Clear Queue","Clear Queue"
"Close All","Close All"
"Close Potential after","Close Potential after"
"Closing Date","Closing Date"
"Comment Added","Comment Added"
"Comment Information","Comment Information"
"Comment (of Credit Memo %s) has id %s has been updated successfully.","Comment (of Credit Memo %s) has id %s has been updated successfully."
"Comment (of Invoice %s) has id %s has been updated successfully.","Comment (of Invoice %s) has id %s has been updated successfully."
